omc_id,sample_name,non_human_reads,total_reads,kraken_human_reads,collection_date,visit_number,biosample_type,biosample_site,biosample_side,biosample_alias,collection_medium_tube,tube_lot,added_medium,added_medium_lot,swab_type,swab_lot,extraction_kit,lysozyme_treatment,sample_volume,host_depletion,host_depletion_kit,nucleic_acid_concentration,sequencing_date,seq_plate_number,seq_batch_plate_location,seq_plate_location,sequencing_lane,individual_id,microbial_standard
jhu00265,030AH_Conj_R_3_S70,72990,19494706,8662,2024-11-20,3.0,Human Ocular Surface,Conj,Right,S70,OMR,BG001,,,FloQ,,Zymo Mini Prep Kit,,,,,1.5,2025-08-06,1.0,,H1,L006,30.0,0
jhu00275,032SN_Conj_L_1_S80,127342,52259710,17518,2024-11-13,1.0,Human Ocular Surface,Conj,Left,S80,OMR,BG001,,,ISOHELIX-mini,,Zymo Mini Prep Kit,,,,,1.2,2025-08-06,1.0,,G8,L006,32.0,0
jhu00276,032SN_Conj_L_2_S81,100546,33507440,14156,2024-11-20,2.0,Human Ocular Surface,Conj,Left,S81,OMR,BG001,,,ISOHELIX-mini,,Zymo Mini Prep Kit,,,,,1.6,2025-08-06,1.0,,H6,L006,32.0,0
jhu00277,032SN_Conj_L_3_S82,137808,20668010,7564,2024-12-04,3.0,Human Ocular Surface,Conj,Left,S82,OMR,BG001,,,ISOHELIX-mini,,Zymo Mini Prep Kit,,,,,1.3,2025-08-06,1.0,,E8,L006,32.0,0
jhu00278,032SN_Conj_R_1_S83,609128,53149062,16590,2024-11-13,1.0,Human Ocular Surface,Conj,Right,S83,OMR,BG001,,,FloQ,,Zymo Mini Prep Kit,,,,,1.3,2025-08-06,1.0,,G7,L006,32.0,0
jhu00279,032SN_Conj_R_2_S84,250826,49945736,19464,2024-11-20,2.0,Human Ocular Surface,Conj,Right,S84,OMR,BG001,,,FloQ,,Zymo Mini Prep Kit,,,,,1.3,2025-08-06,1.0,,H5,L006,32.0,0
jhu00280,032SN_Conj_R_3_S85,106712,40143120,14966,2024-12-04,3.0,Human Ocular Surface,Conj,Right,S85,OMR,BG001,,,FloQ,,Zymo Mini Prep Kit,,,,,1.5,2025-08-06,1.0,,E7,L006,32.0,0
jhu00292,033MA_Conj_L_1_S193,167488,25921280,11872,2024-11-13,1.0,Human Ocular Surface,Conj,Left,S193,OMR,BG001,,,ISOHELIX-mini,,Zymo Mini Prep Kit,,,,,0.7,2025-08-06,,,A2,L008,33.0,0
jhu00293,033MA_Conj_L_2_S194,18327060,20771082,2854,2024-11-20,2.0,Human Ocular Surface,Conj,Left,S194,OMR,BG001,,,ISOHELIX-mini,,Zymo Mini Prep Kit,,,,,1.3,2025-08-06,2.0,,A8,L008,33.0,0
jhu00294,033MA_Conj_L_3_S195,26400582,28511082,3612,2024-12-04,3.0,Human Ocular Surface,Conj,Left,S195,OMR,BG001,,,ISOHELIX-mini,,Zymo Mini Prep Kit,,,,,1.7,2025-08-06,,,B2,L008,33.0,0
